iter	Passed	Remaining
0	29	29442
1	57	28450
2	85	28317
3	111	27751
4	136	27223
5	162	26958
6	190	27018
7	217	26919
8	246	27117
9	274	27182
10	304	27421
11	333	27460
12	361	27417
13	386	27232
14	413	27142
15	441	27145
16	469	27136
17	495	27057
18	523	27010
19	549	26919
20	576	26864
21	605	26927
22	632	26861
23	659	26825
24	687	26831
25	715	26796
26	744	26820
27	774	26888
28	800	26817
29	829	26832
30	857	26814
31	884	26744
32	910	26676
33	939	26699
34	968	26701
35	996	26693
36	1026	26709
37	1054	26699
38	1083	26697
39	1111	26667
40	1139	26658
41	1167	26631
42	1196	26620
43	1223	26589
44	1251	26569
45	1279	26537
46	1309	26551
47	1339	26575
48	1375	26691
49	1413	26850
50	1444	26879
51	1478	26957
52	1515	27081
53	1547	27107
54	1576	27085
55	1611	27172
56	1645	27222
57	1680	27286
58	1710	27287
59	1742	27301
60	1777	27355
61	1809	27372
62	1841	27388
63	1872	27384
64	1903	27380
65	1936	27411
66	1970	27446
67	2006	27501
68	2037	27496
69	2066	27460
70	2095	27412
71	2123	27366
72	2150	27311
73	2174	27214
74	2203	27173
75	2232	27138
76	2259	27085
77	2286	27032
78	2319	27037
79	2350	27032
80	2382	27034
81	2417	27060
82	2444	27010
83	2472	26963
84	2500	26920
85	2529	26881
86	2555	26815
87	2582	26769
88	2612	26743
89	2640	26694
90	2671	26681
91	2699	26642
92	2728	26614
93	2756	26570
94	2783	26512
95	2811	26477
96	2839	26437
97	2867	26394
98	2896	26364
99	2924	26320
100	2953	26287
101	2981	26252
102	3011	26229
103	3039	26186
104	3066	26138
105	3092	26084
106	3119	26036
107	3147	26000
108	3177	25971
109	3209	25966
110	3234	25902
111	3262	25868
112	3291	25837
113	3320	25806
114	3349	25777
115	3376	25733
116	3406	25706
117	3439	25708
118	3472	25707
119	3503	25691
120	3530	25644
121	3559	25616
122	3587	25578
123	3614	25537
124	3644	25510
125	3673	25480
126	3700	25437
127	3729	25410
128	3754	25349
129	3780	25299
130	3808	25263
131	3836	25228
132	3864	25192
133	3892	25155
134	3919	25111
135	3947	25080
136	3977	25055
137	4006	25025
138	4034	24993
139	4063	24960
140	4092	24935
141	4121	24905
142	4149	24869
143	4177	24833
144	4205	24796
145	4232	24754
146	4260	24723
147	4289	24693
148	4316	24652
149	4343	24613
150	4371	24580
151	4399	24546
152	4425	24499
153	4454	24471
154	4480	24426
155	4510	24403
156	4541	24385
157	4572	24365
158	4605	24360
159	4633	24323
160	4659	24281
161	4689	24256
162	4717	24222
163	4743	24178
164	4769	24135
165	4795	24094
166	4825	24067
167	4854	24042
168	4883	24014
169	4911	23978
170	4939	23944
171	4966	23910
172	4997	23887
173	5025	23856
174	5053	23822
175	5082	23795
176	5109	23756
177	5136	23719
178	5164	23685
179	5190	23646
180	5219	23616
181	5248	23589
182	5276	23555
183	5305	23527
184	5332	23493
185	5360	23461
186	5390	23434
187	5421	23414
188	5452	23396
189	5482	23371
190	5511	23345
191	5540	23316
192	5569	23288
193	5596	23250
194	5628	23236
195	5659	23214
196	5689	23192
197	5719	23165
198	5747	23134
199	5777	23109
200	5804	23072
201	5831	23038
202	5859	23005
203	5887	22971
204	5915	22939
205	5941	22900
206	5968	22864
207	5996	22831
208	6023	22797
209	6052	22770
210	6080	22736
211	6107	22701
212	6133	22664
213	6162	22633
214	6190	22601
215	6218	22569
216	6247	22543
217	6275	22510
218	6305	22486
219	6333	22455
220	6363	22432
221	6397	22419
222	6425	22389
223	6453	22356
224	6481	22324
225	6511	22299
226	6539	22268
227	6568	22240
228	6596	22210
229	6626	22183
230	6653	22149
231	6681	22117
232	6711	22092
233	6747	22089
234	6780	22073
235	6812	22054
236	6840	22022
237	6868	21991
238	6898	21966
239	6926	21933
240	6951	21893
241	6980	21864
242	7008	21834
243	7037	21803
244	7064	21769
245	7093	21741
246	7120	21707
247	7152	21688
248	7180	21656
249	7209	21627
250	7236	21594
251	7264	21562
252	7292	21533
253	7318	21494
254	7346	21462
255	7375	21434
256	7406	21411
257	7433	21377
258	7462	21348
259	7490	21317
260	7517	21285
261	7547	21259
262	7580	21242
263	7609	21215
264	7639	21187
265	7666	21155
266	7695	21126
267	7723	21094
268	7752	21066
269	7779	21032
270	7808	21004
